index,user_id_maped,program_name,rating,date_,program_genre
707160,26732,Community  (T)    Physical Education,3,2017-05-03,Comedy
707643,26732,Friends      The One With The Apothecary Table,3,2017-05-25,Comedy
708133,26732,Friends      The One With The Red weater,3,2017-08-28,Comedy
708623,26732,Scandal  (T)    We Do Not Touch The First Ladies,3,2017-05-16,Drama
709114,26732,Friends     The One In Vegas  Part I,3,2017-07-12,Comedy
710578,26732,Friends      The One With The Football,3,2017-04-06,Comedy
711064,26732,Friends      The One With The Dollhouse,3,2017-07-17,Comedy
711550,26732,Friends      The One Where Old Yeller Dies,3,2017-08-28,Comedy
712042,26732,Heroes  The Eclipse  Part,4,2017-07-19,Drama
712529,26732,Friends      The One With Unagi,3,2017-05-25,Comedy
713022,26732,Friends      Friends    Ep2,3,2017-03-28,Comedy
713510,26732,Friends     The One Where Estelle Dies,3,2017-07-11,Comedy
713996,26732,Jack Ryan: hadow Recruit,1,2017-04-13,Action
714491,26732,Friends     The One With All The Wedding Dresses,3,2017-04-13,Comedy
714977,26732,Friends      The One With Unagi,3,2017-05-25,Comedy
715465,26732,Friends      The One With The Ring,3,2017-05-25,Comedy
715951,26732,Friends      The One With The List,3,2017-03-29,Comedy
716447,26732,Friends      The One With The onogram At The End,3,2017-05-19,Comedy
716941,26732,Friends      The One With The Metaphorical Tunnel,3,2017-04-06,Comedy
717432,26732,Friends      The One With The Bullies,3,2017-07-16,Comedy
717926,26732,Friends     The One With All The Rugby,3,2017-04-13,Comedy
718902,26732,Friends     The One After Ross ays Rachel,3,2017-05-15,Comedy
719392,26732,Friends      The One With The Rumor,3,2017-08-28,Comedy
719878,26732,Friends      The One With The Dollhouse,3,2017-04-10,Comedy
720365,26732,Friends      The One Where Eddie Won't Go,3,2017-08-28,Comedy
720855,26732,Friends      The One With The tain,3,2017-08-28,Comedy
721339,26732,Friends      The One Where Joey Tells Rachel,3,2017-03-26,Comedy
721835,26732,Heroes  The Wall,4,2017-07-21,Drama
722323,26732,Friends      The One Where Old Yeller Dies,3,2017-05-15,Comedy
722813,26732,Friends     The One Where Chandler Gets Caught,3,2017-07-11,Comedy
723306,26732,Friends      The One With The Giant Poking Device,3,2017-05-14,Comedy
723789,26732,Friends      The One With The Chicken Pox,3,2017-07-16,Comedy
724769,26732,Friends      The One With The Fake Monica,2,2017-05-22,Comedy
725269,26732,Friends      The One With Rachel's Date,3,2017-03-26,Comedy
725751,26732,Friends     The One With The Cake,3,2017-07-09,Comedy
726247,26732,Friends      The One The Morning After,4,2017-04-06,Comedy
726741,26732,Friends     The One Where They're Up All Night,3,2017-07-13,Comedy
727229,26732,Friends     The One With The Invitation,3,2017-04-13,Comedy
727729,26732,Friends      The One With The Metaphorical Tunnel,3,2017-05-15,Comedy
728227,26732,Black-ish  (T)   Pilot,2,2017-07-21,Comedy
728724,26732,Friends      The One With The Ultimate Champion,3,2017-05-14,Comedy
729220,26732,Friends      The One Where Paul's The Man,4,2017-07-22,Comedy
729705,26732,Friends     The One With The Late Thanksgiving,4,2017-07-11,Comedy
730197,26732,Friends      The One With The German Laundry Detergent,3,2017-03-28,Comedy
730690,26732,Friends      The One Where Joey Moves Out,3,2017-05-15,Comedy
731179,26732,Friends      The One With George tephanopoulos,3,2017-05-19,Comedy
731676,26732,Penny Dreadful     Night Work,3,2017-04-12,Thriller
732651,26732,Friends      The One With Two Parties,3,2017-03-29,Comedy
733143,26732,Friends     The One With The harks,4,2017-07-03,Comedy
733632,26732,Friends      The One Where Ross Got High,3,2017-05-25,Comedy
734118,26732,Friends      The One With Ross' New Girlfriend,3,2017-07-16,Comedy
734614,26732,Friends      The One Where Heckles Dies,3,2017-08-27,Comedy
735110,26732,Friends      The One With The Prom Video,3,2017-03-29,Comedy
735609,26732,Friends      The One With The Football,3,2017-05-14,Comedy
736107,26732,Friends      The One With Phoebe's Ex-Partner,3,2017-07-17,Comedy
736608,26732,Friends      The One With Frank Jr.,3,2017-05-15,Comedy
737096,26732,Friends      The One With Phoebe's Ex-Partner,3,2017-05-15,Comedy
737587,26732,The Amazing pider-Man,1,2017-05-01,Action
738077,26732,Friends      The One Where Chandler Takes A Bath,3,2017-03-26,Comedy
738571,26732,Friends     The One After Ross ays Rachel,1,2017-08-26,Comedy
739064,26732,Friends     The One With Phoebe's Wedding,4,2017-07-11,Comedy
739560,26732,Friends      The One With The Baby On The Bus,3,2017-05-14,Comedy
740051,26732,Heroes  The Art Of Deception,4,2017-07-21,Drama
740554,26732,Friends      The One Where Eddie Moves In,1,2017-03-29,Comedy
741051,26732,Friends      The One Without The ki Trip,3,2017-07-17,Comedy
741539,26732,Heroes  Upon This Rock,4,2017-07-20,Drama
742029,26732,Friends      The One Where Chandler Can't Remember,3,2017-04-02,Comedy
742526,26732,Friends      The One With The Metaphorical Tunnel,3,2017-05-14,Comedy
743018,26732,Friends     The One In Vegas  Part I,3,2017-04-18,Comedy
743513,26732,Heroes  hadowboxing,4,2017-07-20,Drama
744006,26732,Scandal  (T)    More Cattle  Less Bull,4,2017-05-15,Drama
744989,26732,Friends     The One With Ross's Wedding Part II,1,2017-07-18,Comedy
745481,26732,Heroes  An Invisible Thread,4,2017-07-20,Drama
745970,26732,Identity,1,2017-07-21,Thriller
746458,26732,Friends      The One With The Jam,3,2017-07-17,Comedy
746950,26732,Friends     The One With All The Kissing,3,2017-05-15,Comedy
747435,26732,Friends      The One Where Ross Finds Out,3,2017-05-14,Comedy
747929,26732,Friends      The One With Five teaks And An Eggplant,3,2017-03-28,Comedy
748417,26732,Friends     The One Where No One Proposes,1,2017-07-26,Comedy
749376,26732,Friends     The One With The Engagement Picture,3,2017-07-13,Comedy
749862,26732,Friends      The One With Ross's Teeth,3,2017-08-27,Comedy
750355,26732,Friends      The One With Barry And Mindy's Wedding,1,2017-09-17,Comedy
750854,26732,Friends      The One With Ross's Teeth,3,2017-07-21,Comedy
751343,26732,Scandal  (T)    It's Handled,4,2017-05-15,Drama
751833,26732,Heroes  Close To You,4,2017-07-21,Drama
752326,26732,Heroes  ix Months Ago,4,2017-07-15,Drama
753308,26732,Friends     The One With Ross's Inappropriate ong,4,2017-07-03,Comedy
753801,26732,Friends      The One With A Chick. And A Duck.,3,2017-05-15,Comedy
754294,26732,Heroes  Eris Quod um,4,2017-07-19,Drama
754789,26732,Tears of The un,4,2017-03-16,Action
755277,26732,Friends      The One With The List,3,2017-07-16,Comedy
755771,26732,Friends      The One Where Chandler Can't Remember,3,2017-07-17,Comedy
756264,26732,The Hobbit: The Desolation Of maug,4,2017-03-16,Action
756743,26732,Friends      The One With Monica's Boots,4,2017-08-28,Comedy
757238,26732,The Amazing pider-Man,1,2017-05-01,Action
757733,26732,Friends      The One Where Rachel Finds Out,3,2017-05-24,Comedy
758225,26732,Friends      The One With The Jam,3,2017-05-15,Comedy
758716,26732,Friends      The One Where Old Yeller Dies,3,2017-07-16,Comedy
759203,26732,Friends     The One After Ross ays Rachel,1,2017-04-18,Comedy
